Thining Part,Moment Direction,Thining Rate,Boundary Type,Inner Pressure,Moment,Multiplier
Intra,IPO,30%,Elastic Shakedown,0,1.75E+08,0.356587775
Intra,IPO,30%,Elastic Shakedown,2.207,1.58E+08,0.396220715
Intra,IPO,30%,Elastic Shakedown,4.414,1.40E+08,0.445775609
Intra,IPO,30%,Elastic Shakedown,6.621,1.23E+08,0.509499937
Intra,IPO,30%,Elastic Shakedown,8.828,1.05E+08,0.594468932
Intra,IPO,30%,Elastic Shakedown,11.035,8.75E+07,0.713351109
Intra,IPO,30%,Elastic Shakedown,13.242,7.00E+07,0.861186797
Intra,IPO,30%,Elastic Shakedown,15.449,5.25E+07,0.848412648
Intra,IPO,30%,Elastic Shakedown,17.656,3.50E+07,0.795986195
Intra,IPO,30%,Elastic Shakedown,19.863,1.75E+07,0.736018986
Intra,IPO,30%,Elastic Shakedown,22.07,0.00E+00,0.681767589
Intra,IPO,50%,Elastic Shakedown,0,1.75E+08,0.354621316
Intra,IPO,50%,Elastic Shakedown,2.207,1.58E+08,0.394034631
Intra,IPO,50%,Elastic Shakedown,4.414,1.40E+08,0.443313888
Intra,IPO,50%,Elastic Shakedown,6.621,1.23E+08,0.506683234
Intra,IPO,50%,Elastic Shakedown,8.828,1.05E+08,0.591179775
Intra,IPO,50%,Elastic Shakedown,11.035,8.75E+07,0.709405982
Intra,IPO,50%,Elastic Shakedown,13.242,7.00E+07,0.803102305
Intra,IPO,50%,Elastic Shakedown,15.449,5.25E+07,0.755709455
Intra,IPO,50%,Elastic Shakedown,17.656,3.50E+07,0.692699422
Intra,IPO,50%,Elastic Shakedown,19.863,1.75E+07,0.633468381
Intra,IPO,50%,Elastic Shakedown,22.07,0.00E+00,0.582447616
Intra,IPC,30%,Elastic Shakedown,0,1.75E+08,0.356587782
Intra,IPC,30%,Elastic Shakedown,2.207,1.58E+08,0.396228269
Intra,IPC,30%,Elastic Shakedown,4.414,1.40E+08,0.445784167
Intra,IPC,30%,Elastic Shakedown,6.621,1.23E+08,0.509419749
Intra,IPC,30%,Elastic Shakedown,8.828,1.05E+08,0.593134811
Intra,IPC,30%,Elastic Shakedown,11.035,8.75E+07,0.681763432
Intra,IPC,30%,Elastic Shakedown,13.242,7.00E+07,0.713429599
Intra,IPC,30%,Elastic Shakedown,15.449,5.25E+07,0.728156717
Intra,IPC,30%,Elastic Shakedown,17.656,3.50E+07,0.724679373
Intra,IPC,30%,Elastic Shakedown,19.863,1.75E+07,0.707966065
Intra,IPC,30%,Elastic Shakedown,22.07,0.00E+00,0.681767587
Intra,IPC,50%,Elastic Shakedown,0,1.75E+08,0.354621319
Intra,IPC,50%,Elastic Shakedown,2.207,1.58E+08,0.394042945
Intra,IPC,50%,Elastic Shakedown,4.414,1.40E+08,0.443323626
Intra,IPC,50%,Elastic Shakedown,6.621,1.23E+08,0.506648709
Intra,IPC,50%,Elastic Shakedown,8.828,1.05E+08,0.589957172
Intra,IPC,50%,Elastic Shakedown,11.035,8.75E+07,0.676087613
Intra,IPC,50%,Elastic Shakedown,13.242,7.00E+07,0.695064438
Intra,IPC,50%,Elastic Shakedown,15.449,5.25E+07,0.686714399
