Thining Part,Moment Direction,Thining Rate,Boundary Type,Inner Pressure,Moment,Multiplier
Extra,IPO,20%,Limit Load,22.07,0.00E+00,0.754368462
Extra,IPO,20%,Limit Load,19.863,1.75E+07,0.889163973
Extra,IPO,20%,Limit Load,17.656,3.50E+07,1.00060699
Extra,IPO,20%,Limit Load,15.449,5.25E+07,1.022539278
Extra,IPO,20%,Limit Load,13.242,7.00E+07,0.970476215
Extra,IPO,20%,Limit Load,11.035,8.75E+08,0.888669515
Extra,IPO,20%,Limit Load,8.828,1.05E+08,0.789715715
Extra,IPO,20%,Limit Load,6.621,1.23E+08,0.692880506
Extra,IPO,20%,Limit Load,4.414,1.40E+08,0.606255741
Extra,IPO,20%,Limit Load,2.207,1.58E+08,0.532308451
Extra,IPO,20%,Limit Load,0,1.75E+08,0.470932499
Extra,IPO,20%,Elastic Shakedown,22.07,0.00E+00,0.754368462
Extra,IPO,20%,Elastic Shakedown,19.863,1.75E+07,0.815823662
Extra,IPO,20%,Elastic Shakedown,17.656,3.50E+07,0.875947382
Extra,IPO,20%,Elastic Shakedown,15.449,5.25E+07,0.910521428
Extra,IPO,20%,Elastic Shakedown,13.242,7.00E+07,0.8931019
Extra,IPO,20%,Elastic Shakedown,11.035,8.75E+08,0.71683067
Extra,IPO,20%,Elastic Shakedown,8.828,1.05E+08,0.597329071
Extra,IPO,20%,Elastic Shakedown,6.621,1.23E+08,0.511950377
Extra,IPO,20%,Elastic Shakedown,4.414,1.40E+08,0.447918414
Extra,IPO,20%,Elastic Shakedown,2.207,1.58E+08,0.398123519
Extra,IPO,20%,Elastic Shakedown,0,1.75E+08,0.358297037
Extra,IPO,40%,Limit Load,22.07,0.00E+00,0.752627035
Extra,IPO,40%,Limit Load,19.863,1.75E+07,0.874641613
Extra,IPO,40%,Limit Load,17.656,3.50E+07,0.983873442
Extra,IPO,40%,Limit Load,15.449,5.25E+07,1.021560726
Extra,IPO,40%,Limit Load,13.242,7.00E+07,0.969228378
Extra,IPO,40%,Limit Load,11.035,8.75E+08,0.886666379
Extra,IPO,40%,Limit Load,8.828,1.05E+08,0.787035464
Extra,IPO,40%,Limit Load,6.621,1.23E+08,0.689776242
Extra,IPO,40%,Limit Load,4.414,1.40E+08,0.603100026
Extra,IPO,40%,Limit Load,2.207,1.58E+08,0.529349772
Extra,IPO,40%,Limit Load,0,1.75E+08,0.46827822
Extra,IPO,40%,Elastic Shakedown,22.07,0.00E+00,0.752627035
Extra,IPO,40%,Elastic Shakedown,19.863,1.75E+07,0.814912321
Extra,IPO,40%,Elastic Shakedown,17.656,3.50E+07,0.875311226
Extra,IPO,40%,Elastic Shakedown,15.449,5.25E+07,0.909660654
Extra,IPO,40%,Elastic Shakedown,13.242,7.00E+07,0.891983207
Extra,IPO,40%,Elastic Shakedown,11.035,8.75E+08,0.713606695
Extra,IPO,40%,Elastic Shakedown,8.828,1.05E+08,0.594636391
Extra,IPO,40%,Elastic Shakedown,6.621,1.23E+08,0.509644288
Extra,IPO,40%,Elastic Shakedown,4.414,1.40E+08,0.445943859
Extra,IPO,40%,Elastic Shakedown,2.207,1.58E+08,0.396369513
Extra,IPO,40%,Elastic Shakedown,0,1.75E+08,0.356718688
Extra,IPO,60%,Limit Load,22.07,0.00E+00,0.577920048
Extra,IPO,60%,Limit Load,19.863,1.75E+07,0.642428044
Extra,IPO,60%,Limit Load,17.656,3.50E+07,0.722816507
Extra,IPO,60%,Limit Load,15.449,5.25E+07,0.825405111
Extra,IPO,60%,Limit Load,13.242,7.00E+07,0.936504996
Extra,IPO,60%,Limit Load,11.035,8.75E+08,0.884954939
Extra,IPO,60%,Limit Load,8.828,1.05E+08,0.784545743
Extra,IPO,60%,Limit Load,6.621,1.23E+08,0.686864204
Extra,IPO,60%,Limit Load,4.414,1.40E+08,0.600123466
Extra,IPO,60%,Limit Load,2.207,1.58E+08,0.526568766
Extra,IPO,60%,Limit Load,0,1.75E+08,0.465775347
Extra,IPO,60%,Elastic Shakedown,22.07,0.00E+00,0.577920048
Extra,IPO,60%,Elastic Shakedown,19.863,1.75E+07,0.639669233
Extra,IPO,60%,Elastic Shakedown,17.656,3.50E+07,0.712978964
Extra,IPO,60%,Elastic Shakedown,15.449,5.25E+07,0.803866014
Extra,IPO,60%,Elastic Shakedown,13.242,7.00E+07,0.886750158
Extra,IPO,60%,Elastic Shakedown,11.035,8.75E+08,0.710278574
Extra,IPO,60%,Elastic Shakedown,8.828,1.05E+08,0.591861845
Extra,IPO,60%,Elastic Shakedown,6.621,1.23E+08,0.507267863
Extra,IPO,60%,Elastic Shakedown,4.414,1.40E+08,0.443825807
Extra,IPO,60%,Elastic Shakedown,2.207,1.58E+08,0.394488847
Extra,IPO,60%,Elastic Shakedown,0,1.75E+08,0.355026246
Extra,IPC,20%,Limit Load,22.07,0.00E+00,0.75436848
Extra,IPC,20%,Limit Load,19.863,1.75E+07,0.765396599
Extra,IPC,20%,Limit Load,17.656,3.50E+07,0.762818258
Extra,IPC,20%,Limit Load,15.449,5.25E+07,0.750159546
Extra,IPC,20%,Limit Load,13.242,7.00E+07,0.724674091
Extra,IPC,20%,Limit Load,11.035,8.75E+08,0.688676703
Extra,IPC,20%,Limit Load,8.828,1.05E+08,0.646172347
Extra,IPC,20%,Limit Load,6.621,1.23E+08,0.600974142
Extra,IPC,20%,Limit Load,4.414,1.40E+08,0.555310748
Extra,IPC,20%,Limit Load,2.207,1.58E+08,0.511450778
Extra,IPC,20%,Limit Load,0,1.75E+08,0.470932514
Extra,IPC,20%,Elastic Shakedown,22.07,0.00E+00,0.75436848
Extra,IPC,20%,Elastic Shakedown,19.863,1.75E+07,0.759008879
Extra,IPC,20%,Elastic Shakedown,17.656,3.50E+07,0.753364668
Extra,IPC,20%,Elastic Shakedown,15.449,5.25E+07,0.739978329
Extra,IPC,20%,Elastic Shakedown,13.242,7.00E+07,0.717835861
Extra,IPC,20%,Elastic Shakedown,11.035,8.75E+08,0.685585087
Extra,IPC,20%,Elastic Shakedown,8.828,1.05E+08,0.596097407
Extra,IPC,20%,Elastic Shakedown,6.621,1.23E+08,0.511904774
Extra,IPC,20%,Elastic Shakedown,4.414,1.40E+08,0.44792796
Extra,IPC,20%,Elastic Shakedown,2.207,1.58E+08,0.39812623
Extra,IPC,20%,Elastic Shakedown,0,1.75E+08,0.358297034
Extra,IPC,40%,Limit Load,22.07,0.00E+00,0.752627075
Extra,IPC,40%,Limit Load,19.863,1.75E+07,0.764699
Extra,IPC,40%,Limit Load,17.656,3.50E+07,0.761964893
Extra,IPC,40%,Limit Load,15.449,5.25E+07,0.749016375
Extra,IPC,40%,Limit Load,13.242,7.00E+07,0.723043102
Extra,IPC,40%,Limit Load,11.035,8.75E+08,0.686545476
Extra,IPC,40%,Limit Load,8.828,1.05E+08,0.643671871
Extra,IPC,40%,Limit Load,6.621,1.23E+08,0.598164497
Extra,IPC,40%,Limit Load,4.414,1.40E+08,0.552408939
Extra,IPC,40%,Limit Load,2.207,1.58E+08,0.508621245
Extra,IPC,40%,Limit Load,0,1.75E+08,0.468278233
Extra,IPC,40%,Elastic Shakedown,22.07,0.00E+00,0.752627075
Extra,IPC,40%,Elastic Shakedown,19.863,1.75E+07,0.758272101
Extra,IPC,40%,Elastic Shakedown,17.656,3.50E+07,0.752517448
Extra,IPC,40%,Elastic Shakedown,15.449,5.25E+07,0.738896385
Extra,IPC,40%,Elastic Shakedown,13.242,7.00E+07,0.716344911
Extra,IPC,40%,Elastic Shakedown,11.035,8.75E+08,0.683502773
Extra,IPC,40%,Elastic Shakedown,8.828,1.05E+08,0.593583224
Extra,IPC,40%,Elastic Shakedown,6.621,1.23E+08,0.509661425
Extra,IPC,40%,Elastic Shakedown,4.414,1.40E+08,0.445916428
Extra,IPC,40%,Elastic Shakedown,2.207,1.58E+08,0.396335697
Extra,IPC,40%,Elastic Shakedown,0,1.75E+08,0.356718699
Extra,IPC,60%,Limit Load,22.07,0.00E+00,0.577920048
Extra,IPC,60%,Limit Load,19.863,1.75E+07,0.640924912
Extra,IPC,60%,Limit Load,17.656,3.50E+07,0.711639497
Extra,IPC,60%,Limit Load,15.449,5.25E+07,0.746450347
Extra,IPC,60%,Limit Load,13.242,7.00E+07,0.721531249
Extra,IPC,60%,Limit Load,11.035,8.75E+08,0.684525527
Extra,IPC,60%,Limit Load,8.828,1.05E+08,0.641247585
Extra,IPC,60%,Limit Load,6.621,1.23E+08,0.595463992
Extra,IPC,60%,Limit Load,4.414,1.40E+08,0.549628351
Extra,IPC,60%,Limit Load,2.207,1.58E+08,0.505931551
Extra,IPC,60%,Limit Load,0,1.75E+08,0.465775346
Extra,IPC,60%,Elastic Shakedown,22.07,0.00E+00,0.577920048
Extra,IPC,60%,Elastic Shakedown,19.863,1.75E+07,0.63837261
Extra,IPC,60%,Elastic Shakedown,17.656,3.50E+07,0.704298308
Extra,IPC,60%,Elastic Shakedown,15.449,5.25E+07,0.736379244
Extra,IPC,60%,Elastic Shakedown,13.242,7.00E+07,0.714994769
Extra,IPC,60%,Elastic Shakedown,11.035,8.75E+08,0.681538425
Extra,IPC,60%,Elastic Shakedown,8.828,1.05E+08,0.590986544
Extra,IPC,60%,Elastic Shakedown,6.621,1.23E+08,0.50727963
Extra,IPC,60%,Elastic Shakedown,4.414,1.40E+08,0.443836342
Extra,IPC,60%,Elastic Shakedown,2.207,1.58E+08,0.39448992
Extra,IPC,60%,Elastic Shakedown,0,1.75E+08,0.355026261
Extra,OP,20%,Limit Load,22.07,0.00E+00,0.754368472
Extra,OP,20%,Limit Load,19.863,1.75E+07,0.830169722
Extra,OP,20%,Limit Load,17.656,3.50E+07,0.892291071
Extra,OP,20%,Limit Load,15.449,5.25E+07,0.921475074
Extra,OP,20%,Limit Load,13.242,7.00E+07,0.910649661
Extra,OP,20%,Limit Load,11.035,8.75E+08,0.863588267
Extra,OP,20%,Limit Load,8.828,1.05E+08,0.795275328
Extra,OP,20%,Limit Load,6.621,1.23E+08,0.720398293
Extra,OP,20%,Limit Load,4.414,1.40E+08,0.648358254
Extra,OP,20%,Limit Load,2.207,1.58E+08,0.583533111
Extra,OP,20%,Limit Load,0,1.75E+08,0.526826161
Extra,OP,20%,Elastic Shakedown,22.07,0.00E+00,0.754368472
Extra,OP,20%,Elastic Shakedown,19.863,1.75E+07,0.811876364
Extra,OP,20%,Elastic Shakedown,17.656,3.50E+07,0.860788374
Extra,OP,20%,Elastic Shakedown,15.449,5.25E+07,0.89317984
Extra,OP,20%,Elastic Shakedown,13.242,7.00E+07,0.897155326
Extra,OP,20%,Elastic Shakedown,11.035,8.75E+08,0.858516284
Extra,OP,20%,Elastic Shakedown,8.828,1.05E+08,0.792750426
Extra,OP,20%,Elastic Shakedown,6.621,1.23E+08,0.718656088
Extra,OP,20%,Elastic Shakedown,4.414,1.40E+08,0.646744684
Extra,OP,20%,Elastic Shakedown,2.207,1.58E+08,0.581792911
Extra,OP,20%,Elastic Shakedown,0,1.75E+08,0.495409983
Extra,OP,40%,Limit Load,22.07,0.00E+00,0.752627036
Extra,OP,40%,Limit Load,19.863,1.75E+07,0.828804533
Extra,OP,40%,Limit Load,17.656,3.50E+07,0.891558225
Extra,OP,40%,Limit Load,15.449,5.25E+07,0.920856552
Extra,OP,40%,Limit Load,13.242,7.00E+07,0.910071892
Extra,OP,40%,Limit Load,11.035,8.75E+08,0.863061812
Extra,OP,40%,Limit Load,8.828,1.05E+08,0.794799569
Extra,OP,40%,Limit Load,6.621,1.23E+08,0.719970761
Extra,OP,40%,Limit Load,4.414,1.40E+08,0.647977134
Extra,OP,40%,Limit Load,2.207,1.58E+08,0.583191396
Extra,OP,40%,Limit Load,0,1.75E+08,0.526517242
Extra,OP,40%,Elastic Shakedown,22.07,0.00E+00,0.752627036
Extra,OP,40%,Elastic Shakedown,19.863,1.75E+07,0.811124026
Extra,OP,40%,Elastic Shakedown,17.656,3.50E+07,0.86017078
Extra,OP,40%,Elastic Shakedown,15.449,5.25E+07,0.892600941
Extra,OP,40%,Elastic Shakedown,13.242,7.00E+07,0.896600729
Extra,OP,40%,Elastic Shakedown,11.035,8.75E+08,0.858010936
Extra,OP,40%,Elastic Shakedown,8.828,1.05E+08,0.79230807
Extra,OP,40%,Elastic Shakedown,6.621,1.23E+08,0.718268229
Extra,OP,40%,Elastic Shakedown,4.414,1.40E+08,0.64640273
Extra,OP,40%,Elastic Shakedown,2.207,1.58E+08,0.581537677
Extra,OP,40%,Elastic Shakedown,0,1.75E+08,0.494706813
Extra,OP,60%,Limit Load,22.07,0.00E+00,0.57792005
Extra,OP,60%,Limit Load,19.863,1.75E+07,0.641999806
Extra,OP,60%,Limit Load,17.656,3.50E+07,0.721100579
Extra,OP,60%,Limit Load,15.449,5.25E+07,0.816046611
Extra,OP,60%,Limit Load,13.242,7.00E+07,0.894613461
Extra,OP,60%,Limit Load,11.035,8.75E+08,0.862263355
Extra,OP,60%,Limit Load,8.828,1.05E+08,0.794346432
Extra,OP,60%,Limit Load,6.621,1.23E+08,0.719593031
Extra,OP,60%,Limit Load,4.414,1.40E+08,0.647636901
Extra,OP,60%,Limit Load,2.207,1.58E+08,0.582870538
Extra,OP,60%,Limit Load,0,1.75E+08,0.526226618
Extra,OP,60%,Elastic Shakedown,22.07,0.00E+00,0.57792005
Extra,OP,60%,Elastic Shakedown,19.863,1.75E+07,0.640048628
Extra,OP,60%,Elastic Shakedown,17.656,3.50E+07,0.713129101
Extra,OP,60%,Elastic Shakedown,15.449,5.25E+07,0.800460943
Extra,OP,60%,Elastic Shakedown,13.242,7.00E+07,0.882783168
Extra,OP,60%,Elastic Shakedown,11.035,8.75E+08,0.857281715
Extra,OP,60%,Elastic Shakedown,8.828,1.05E+08,0.791898662
Extra,OP,60%,Elastic Shakedown,6.621,1.23E+08,0.71792331
Extra,OP,60%,Elastic Shakedown,4.414,1.40E+08,0.646100243
Extra,OP,60%,Elastic Shakedown,2.207,1.58E+08,0.581267328
Extra,OP,60%,Elastic Shakedown,0,1.75E+08,0.493998691
Intra,IPO,20%,Limit Load,22.07,0.00E+00,0.715593051
Intra,IPO,20%,Limit Load,19.863,1.75E+07,0.827379119
Intra,IPO,20%,Limit Load,17.656,3.50E+07,0.931079759
Intra,IPO,20%,Limit Load,15.449,5.25E+07,0.98871796
Intra,IPO,20%,Limit Load,13.242,7.00E+07,0.967910214
Intra,IPO,20%,Limit Load,11.035,8.75E+08,0.886501118
Intra,IPO,20%,Limit Load,8.828,1.05E+08,0.78746688
Intra,IPO,20%,Limit Load,6.621,1.23E+08,0.69086206
Intra,IPO,20%,Limit Load,4.414,1.40E+08,0.604361919
Intra,IPO,20%,Limit Load,2.207,1.58E+08,0.530648237
Intra,IPO,20%,Limit Load,0,1.75E+08,0.469498579
Intra,IPO,20%,Elastic Shakedown,22.07,0.00E+00,0.715593051
Intra,IPO,20%,Elastic Shakedown,19.863,1.75E+07,0.771347402
Intra,IPO,20%,Elastic Shakedown,17.656,3.50E+07,0.830424642
Intra,IPO,20%,Elastic Shakedown,15.449,5.25E+07,0.876689584
Intra,IPO,20%,Elastic Shakedown,13.242,7.00E+07,0.876544928
Intra,IPO,20%,Elastic Shakedown,11.035,8.75E+08,0.715346844
Intra,IPO,20%,Elastic Shakedown,8.828,1.05E+08,0.596126383
Intra,IPO,20%,Elastic Shakedown,6.621,1.23E+08,0.510919573
Intra,IPO,20%,Elastic Shakedown,4.414,1.40E+08,0.447016481
Intra,IPO,20%,Elastic Shakedown,2.207,1.58E+08,0.397322559
Intra,IPO,20%,Elastic Shakedown,0,1.75E+08,0.357578672
Intra,IPO,40%,Limit Load,22.07,0.00E+00,0.638140866
Intra,IPO,40%,Limit Load,19.863,1.75E+07,0.725773798
Intra,IPO,40%,Limit Load,17.656,3.50E+07,0.816590316
Intra,IPO,40%,Limit Load,15.449,5.25E+07,0.894437044
Intra,IPO,40%,Limit Load,13.242,7.00E+07,0.932424318
Intra,IPO,40%,Limit Load,11.035,8.75E+08,0.880898773
Intra,IPO,40%,Limit Load,8.828,1.05E+08,0.783039408
Intra,IPO,40%,Limit Load,6.621,1.23E+08,0.68633762
Intra,IPO,40%,Limit Load,4.414,1.40E+08,0.600034127
Intra,IPO,40%,Limit Load,2.207,1.58E+08,0.526672649
Intra,IPO,40%,Limit Load,0,1.75E+08,0.465944015
Intra,IPO,40%,Elastic Shakedown,22.07,0.00E+00,0.638140866
Intra,IPO,40%,Elastic Shakedown,19.863,1.75E+07,0.691051289
Intra,IPO,40%,Elastic Shakedown,17.656,3.50E+07,0.751478584
Intra,IPO,40%,Elastic Shakedown,15.449,5.25E+07,0.809716072
Intra,IPO,40%,Elastic Shakedown,13.242,7.00E+07,0.838460653
Intra,IPO,40%,Elastic Shakedown,11.035,8.75E+08,0.711305232
Intra,IPO,40%,Elastic Shakedown,8.828,1.05E+08,0.59276621
Intra,IPO,40%,Elastic Shakedown,6.621,1.23E+08,0.508041755
Intra,IPO,40%,Elastic Shakedown,4.414,1.40E+08,0.444542399
Intra,IPO,40%,Elastic Shakedown,2.207,1.58E+08,0.395125606
Intra,IPO,40%,Elastic Shakedown,0,1.75E+08,0.355602794
Intra,IPO,60%,Limit Load,22.07,0.00E+00,0.509266999
Intra,IPO,60%,Limit Load,19.863,1.75E+07,0.568459348
Intra,IPO,60%,Limit Load,17.656,3.50E+07,0.63954987
Intra,IPO,60%,Limit Load,15.449,5.25E+07,0.723723628
Intra,IPO,60%,Limit Load,13.242,7.00E+07,0.810297214
Intra,IPO,60%,Limit Load,11.035,8.75E+08,0.842059984
Intra,IPO,60%,Limit Load,8.828,1.05E+08,0.775690603
Intra,IPO,60%,Limit Load,6.621,1.23E+08,0.682435518
Intra,IPO,60%,Limit Load,4.414,1.40E+08,0.596601277
Intra,IPO,60%,Limit Load,2.207,1.58E+08,0.52357921
Intra,IPO,60%,Limit Load,0,1.75E+08,0.463185011
Intra,IPO,60%,Elastic Shakedown,22.07,0.00E+00,0.509266999
Intra,IPO,60%,Elastic Shakedown,19.863,1.75E+07,0.557556564
Intra,IPO,60%,Elastic Shakedown,17.656,3.50E+07,0.613052683
Intra,IPO,60%,Elastic Shakedown,15.449,5.25E+07,0.678021393
Intra,IPO,60%,Elastic Shakedown,13.242,7.00E+07,0.744739351
Intra,IPO,60%,Elastic Shakedown,11.035,8.75E+08,0.707463952
Intra,IPO,60%,Elastic Shakedown,8.828,1.05E+08,0.589641978
Intra,IPO,60%,Elastic Shakedown,6.621,1.23E+08,0.50536642
Intra,IPO,60%,Elastic Shakedown,4.414,1.40E+08,0.442204063
Intra,IPO,60%,Elastic Shakedown,2.207,1.58E+08,0.393048968
Intra,IPO,60%,Elastic Shakedown,0,1.75E+08,0.353734577
Intra,IPC,20%,Limit Load,22.07,0.00E+00,0.715593067
Intra,IPC,20%,Limit Load,19.863,1.75E+07,0.748447598
Intra,IPC,20%,Limit Load,17.656,3.50E+07,0.759585801
Intra,IPC,20%,Limit Load,15.449,5.25E+07,0.748742791
Intra,IPC,20%,Limit Load,13.242,7.00E+07,0.722851596
Intra,IPC,20%,Limit Load,11.035,8.75E+08,0.686662724
Intra,IPC,20%,Limit Load,8.828,1.05E+08,0.644354116
Intra,IPC,20%,Limit Load,6.621,1.23E+08,0.599178239
Intra,IPC,20%,Limit Load,4.414,1.40E+08,0.553573027
Intra,IPC,20%,Limit Load,2.207,1.58E+08,0.509862662
Intra,IPC,20%,Limit Load,0,1.75E+08,0.469498562
Intra,IPC,20%,Elastic Shakedown,22.07,0.00E+00,0.715593067
Intra,IPC,20%,Elastic Shakedown,19.863,1.75E+07,0.734313016
Intra,IPC,20%,Elastic Shakedown,17.656,3.50E+07,0.741702164
Intra,IPC,20%,Elastic Shakedown,15.449,5.25E+07,0.736495615
Intra,IPC,20%,Elastic Shakedown,13.242,7.00E+07,0.716114659
Intra,IPC,20%,Elastic Shakedown,11.035,8.75E+08,0.683632695
Intra,IPC,20%,Elastic Shakedown,8.828,1.05E+08,0.594820925
Intra,IPC,20%,Elastic Shakedown,6.621,1.23E+08,0.510890774
Intra,IPC,20%,Elastic Shakedown,4.414,1.40E+08,0.447024772
Intra,IPC,20%,Elastic Shakedown,2.207,1.58E+08,0.397329434
Intra,IPC,20%,Elastic Shakedown,0,1.75E+08,0.357578656
Intra,IPC,40%,Limit Load,22.07,0.00E+00,0.638140862
Intra,IPC,40%,Limit Load,19.863,1.75E+07,0.685072279
Intra,IPC,40%,Limit Load,17.656,3.50E+07,0.722367374
Intra,IPC,40%,Limit Load,15.449,5.25E+07,0.735526289
Intra,IPC,40%,Limit Load,13.242,7.00E+07,0.718570784
Intra,IPC,40%,Limit Load,11.035,8.75E+08,0.682979539
Intra,IPC,40%,Limit Load,8.828,1.05E+08,0.6403786
Intra,IPC,40%,Limit Load,6.621,1.23E+08,0.595136507
Intra,IPC,40%,Limit Load,4.414,1.40E+08,0.549573282
Intra,IPC,40%,Limit Load,2.207,1.58E+08,0.506039705
Intra,IPC,40%,Limit Load,0,1.75E+08,0.465943988
Intra,IPC,40%,Elastic Shakedown,22.07,0.00E+00,0.638140862
Intra,IPC,40%,Elastic Shakedown,19.863,1.75E+07,0.671140199
Intra,IPC,40%,Elastic Shakedown,17.656,3.50E+07,0.69802416
Intra,IPC,40%,Elastic Shakedown,15.449,5.25E+07,0.71264366
Intra,IPC,40%,Elastic Shakedown,13.242,7.00E+07,0.707645947
Intra,IPC,40%,Elastic Shakedown,11.035,8.75E+08,0.679669212
Intra,IPC,40%,Elastic Shakedown,8.828,1.05E+08,0.591525
Intra,IPC,40%,Elastic Shakedown,6.621,1.23E+08,0.508006869
Intra,IPC,40%,Elastic Shakedown,4.414,1.40E+08,0.444510267
Intra,IPC,40%,Elastic Shakedown,2.207,1.58E+08,0.395097043
Intra,IPC,40%,Elastic Shakedown,0,1.75E+08,0.355602766
Intra,IPC,60%,Limit Load,22.07,0.00E+00,0.509266995
Intra,IPC,60%,Limit Load,19.863,1.75E+07,0.560168379
Intra,IPC,60%,Limit Load,17.656,3.50E+07,0.615769064
Intra,IPC,60%,Limit Load,15.449,5.25E+07,0.666951095
Intra,IPC,60%,Limit Load,13.242,7.00E+07,0.690153803
Intra,IPC,60%,Limit Load,11.035,8.75E+08,0.674303728
Intra,IPC,60%,Limit Load,8.828,1.05E+08,0.636292282
Intra,IPC,60%,Limit Load,6.621,1.23E+08,0.591793413
Intra,IPC,60%,Limit Load,4.414,1.40E+08,0.546414761
Intra,IPC,60%,Limit Load,2.207,1.58E+08,0.503065554
Intra,IPC,60%,Limit Load,0,1.75E+08,0.463185018
Intra,IPC,60%,Elastic Shakedown,22.07,0.00E+00,0.509266995
Intra,IPC,60%,Elastic Shakedown,19.863,1.75E+07,0.552291104
Intra,IPC,60%,Elastic Shakedown,17.656,3.50E+07,0.597657595
Intra,IPC,60%,Elastic Shakedown,15.449,5.25E+07,0.642034098
Intra,IPC,60%,Elastic Shakedown,13.242,7.00E+07,0.671075456
Intra,IPC,60%,Elastic Shakedown,11.035,8.75E+08,0.667218668
Intra,IPC,60%,Elastic Shakedown,8.828,1.05E+08,0.588498371
Intra,IPC,60%,Elastic Shakedown,6.621,1.23E+08,0.505333389
Intra,IPC,60%,Elastic Shakedown,4.414,1.40E+08,0.442173231
Intra,IPC,60%,Elastic Shakedown,2.207,1.58E+08,0.393020789
Intra,IPC,60%,Elastic Shakedown,0,1.75E+08,0.353734582
Intra,OP,20%,Limit Load,22.07,0.00E+00,0.715593065
Intra,OP,20%,Limit Load,19.863,1.75E+07,0.790226268
Intra,OP,20%,Limit Load,17.656,3.50E+07,0.865692129
Intra,OP,20%,Limit Load,15.449,5.25E+07,0.915694556
Intra,OP,20%,Limit Load,13.242,7.00E+07,0.909039684
Intra,OP,20%,Limit Load,11.035,8.75E+08,0.86225067
Intra,OP,20%,Limit Load,8.828,1.05E+08,0.79386923
Intra,OP,20%,Limit Load,6.621,1.23E+08,0.718995277
Intra,OP,20%,Limit Load,4.414,1.40E+08,0.647030629
Intra,OP,20%,Limit Load,2.207,1.58E+08,0.582257263
Intra,OP,20%,Limit Load,0,1.75E+08,0.525652352
Intra,OP,20%,Elastic Shakedown,22.07,0.00E+00,0.715593065
Intra,OP,20%,Elastic Shakedown,19.863,1.75E+07,0.776473897
Intra,OP,20%,Elastic Shakedown,17.656,3.50E+07,0.834233574
Intra,OP,20%,Elastic Shakedown,15.449,5.25E+07,0.879786759
Intra,OP,20%,Elastic Shakedown,13.242,7.00E+07,0.894397799
Intra,OP,20%,Elastic Shakedown,11.035,8.75E+08,0.857256404
Intra,OP,20%,Elastic Shakedown,8.828,1.05E+08,0.791329661
Intra,OP,20%,Elastic Shakedown,6.621,1.23E+08,0.71723124
Intra,OP,20%,Elastic Shakedown,4.414,1.40E+08,0.645496077
Intra,OP,20%,Elastic Shakedown,2.207,1.58E+08,0.580790998
Intra,OP,20%,Elastic Shakedown,0,1.75E+08,0.524318638
Intra,OP,40%,Limit Load,22.07,0.00E+00,0.638140857
Intra,OP,40%,Limit Load,19.863,1.75E+07,0.706574001
Intra,OP,40%,Limit Load,17.656,3.50E+07,0.783421739
Intra,OP,40%,Limit Load,15.449,5.25E+07,0.859630038
Intra,OP,40%,Limit Load,13.242,7.00E+07,0.89695812
Intra,OP,40%,Limit Load,11.035,8.75E+08,0.859237523
Intra,OP,40%,Limit Load,8.828,1.05E+08,0.791450986
Intra,OP,40%,Limit Load,6.621,1.23E+08,0.716694846
Intra,OP,40%,Limit Load,4.414,1.40E+08,0.644891107
Intra,OP,40%,Limit Load,2.207,1.58E+08,0.580264994
Intra,OP,40%,Limit Load,0,1.75E+08,0.523831651
Intra,OP,40%,Elastic Shakedown,22.07,0.00E+00,0.638140857
Intra,OP,40%,Elastic Shakedown,19.863,1.75E+07,0.696538942
Intra,OP,40%,Elastic Shakedown,17.656,3.50E+07,0.759609064
Intra,OP,40%,Elastic Shakedown,15.449,5.25E+07,0.823095427
Intra,OP,40%,Elastic Shakedown,13.242,7.00E+07,0.869095446
Intra,OP,40%,Elastic Shakedown,11.035,8.75E+08,0.853907977
Intra,OP,40%,Elastic Shakedown,8.828,1.05E+08,0.788939123
Intra,OP,40%,Elastic Shakedown,6.621,1.23E+08,0.714992613
Intra,OP,40%,Elastic Shakedown,4.414,1.40E+08,0.643455347
Intra,OP,40%,Elastic Shakedown,2.207,1.58E+08,0.57897163
Intra,OP,40%,Elastic Shakedown,0,1.75E+08,0.522725938
Intra,OP,60%,Limit Load,22.07,0.00E+00,0.509267062
Intra,OP,60%,Limit Load,19.863,1.75E+07,0.565290138
Intra,OP,60%,Limit Load,17.656,3.50E+07,0.633313578
Intra,OP,60%,Limit Load,15.449,5.25E+07,0.714909803
Intra,OP,60%,Limit Load,13.242,7.00E+07,0.801407758
Intra,OP,60%,Limit Load,11.035,8.75E+08,0.839505643
Intra,OP,60%,Limit Load,8.828,1.05E+08,0.78740621
Intra,OP,60%,Limit Load,6.621,1.23E+08,0.713918771
