Thining Part,Moment Direction,Thining Rate,Boundary Type,Inner Pressure,Moment,Multiplier
Intra,IPO,10%,Elastic Shakedown,0,1.75E+08,0.358500456
Intra,IPO,10%,Elastic Shakedown,2.207,1.58E+08,0.398347756
Intra,IPO,10%,Elastic Shakedown,4.414,1.40E+08,0.44817088
Intra,IPO,10%,Elastic Shakedown,6.621,1.23E+08,0.512239949
Intra,IPO,10%,Elastic Shakedown,8.828,1.05E+08,0.597667691
Intra,IPO,10%,Elastic Shakedown,11.035,8.75E+07,0.717206465
Intra,IPO,10%,Elastic Shakedown,13.242,7.00E+07,0.887196386
Intra,IPO,10%,Elastic Shakedown,15.449,5.25E+07,0.897452283
Intra,IPO,10%,Elastic Shakedown,17.656,3.50E+07,0.857415879
Intra,IPO,10%,Elastic Shakedown,19.863,1.75E+07,0.798426688
Intra,IPO,10%,Elastic Shakedown,22.07,0.00E+00,0.74026283
Intra,IPO,10%,Limit Load,0,1.75E+08,0.471565057
Intra,IPO,10%,Limit Load,2.207,1.58E+08,0.53297087
Intra,IPO,10%,Limit Load,4.414,1.40E+08,0.606886896
Intra,IPO,10%,Limit Load,6.621,1.23E+08,0.693421645
Intra,IPO,10%,Limit Load,8.828,1.05E+08,0.790043418
Intra,IPO,10%,Limit Load,11.035,8.75E+07,0.888676253
Intra,IPO,10%,Limit Load,13.242,7.00E+07,0.970550415
Intra,IPO,10%,Limit Load,15.449,5.25E+07,1.013715394
Intra,IPO,10%,Limit Load,17.656,3.50E+07,0.971644368
Intra,IPO,10%,Limit Load,19.863,1.75E+07,0.863459407
Intra,IPO,10%,Limit Load,22.07,0.00E+00,0.740262843
Intra,IPC,10%,Elastic Shakedown,0,1.75E+08,0.358500459
Intra,IPC,10%,Elastic Shakedown,2.207,1.58E+08,0.398353685
Intra,IPC,10%,Elastic Shakedown,4.414,1.40E+08,0.448179225
Intra,IPC,10%,Elastic Shakedown,6.621,1.23E+08,0.512218044
Intra,IPC,10%,Elastic Shakedown,8.828,1.05E+08,0.596431088
Intra,IPC,10%,Elastic Shakedown,11.035,8.75E+07,0.685668071
Intra,IPC,10%,Elastic Shakedown,13.242,7.00E+07,0.717930765
Intra,IPC,10%,Elastic Shakedown,15.449,5.25E+07,0.739878329
Intra,IPC,10%,Elastic Shakedown,17.656,3.50E+07,0.751210427
Intra,IPC,10%,Elastic Shakedown,19.863,1.75E+07,0.751338183
Intra,IPC,10%,Elastic Shakedown,22.07,0.00E+00,0.740262853
Intra,IPC,10%,Limit Load,0,1.75E+08,0.471565068
Intra,IPC,10%,Limit Load,2.207,1.58E+08,0.512095374
Intra,IPC,10%,Limit Load,4.414,1.40E+08,0.555907905
Intra,IPC,10%,Limit Load,6.621,1.23E+08,0.601498271
Intra,IPC,10%,Limit Load,8.828,1.05E+08,0.646565089
Intra,IPC,10%,Limit Load,11.035,8.75E+07,0.688832146
Intra,IPC,10%,Limit Load,13.242,7.00E+07,0.724676817
Intra,IPC,10%,Limit Load,15.449,5.25E+07,0.750250418
Intra,IPC,10%,Limit Load,17.656,3.50E+07,0.762852363
Intra,IPC,10%,Limit Load,19.863,1.75E+07,0.762612297
Intra,IPC,10%,Limit Load,22.07,0.00E+00,0.740262854
Intra,OP,10%,Elastic Shakedown,0,1.75E+08,0.524902808
Intra,OP,10%,Elastic Shakedown,2.207,1.58E+08,0.581572608
Intra,OP,10%,Elastic Shakedown,4.414,1.40E+08,0.646423105
Intra,OP,10%,Elastic Shakedown,6.621,1.23E+08,0.718258902
Intra,OP,10%,Elastic Shakedown,8.828,1.05E+08,0.792394257
Intra,OP,10%,Elastic Shakedown,11.035,8.75E+07,0.858288067
Intra,OP,10%,Elastic Shakedown,13.242,7.00E+07,0.896759328
Intra,OP,10%,Elastic Shakedown,15.449,5.25E+07,0.890705054
Intra,OP,10%,Elastic Shakedown,17.656,3.50E+07,0.853426731
Intra,OP,10%,Elastic Shakedown,19.863,1.75E+07,0.800175324
Intra,OP,10%,Elastic Shakedown,22.07,0.00E+00,0.740262842
Intra,OP,10%,Limit Load,0,1.75E+08,0.526485794
Intra,OP,10%,Limit Load,2.207,1.58E+08,0.583167392
Intra,OP,10%,Limit Load,4.414,1.40E+08,0.64798717
Intra,OP,10%,Limit Load,6.621,1.23E+08,0.72003212
Intra,OP,10%,Limit Load,8.828,1.05E+08,0.794947385
Intra,OP,10%,Limit Load,11.035,8.75E+07,0.863331588
Intra,OP,10%,Limit Load,13.242,7.00E+07,0.910384666
Intra,OP,10%,Limit Load,15.449,5.25E+07,0.920791181
Intra,OP,10%,Limit Load,17.656,3.50E+07,0.88656788
Intra,OP,10%,Limit Load,19.863,1.75E+07,0.816134114
Intra,OP,10%,Limit Load,22.07,0.00E+00,0.740262851
Extra,IPO,10%,Elastic Shakedown,0,1.75E+08,0.358869977
Extra,IPO,10%,Elastic Shakedown,2.207,1.58E+08,0.398759657
Extra,IPO,10%,Elastic Shakedown,4.414,1.40E+08,0.448634718
Extra,IPO,10%,Elastic Shakedown,6.621,1.23E+08,0.512770165
Extra,IPO,10%,Elastic Shakedown,8.828,1.05E+08,0.598286236
Extra,IPO,10%,Elastic Shakedown,11.035,8.75E+07,0.717969261
Extra,IPO,10%,Elastic Shakedown,13.242,7.00E+07,0.893714655
Extra,IPO,10%,Elastic Shakedown,15.449,5.25E+07,0.911005204
Extra,IPO,10%,Elastic Shakedown,17.656,3.50E+07,0.876337635
Extra,IPO,10%,Elastic Shakedown,19.863,1.75E+07,0.816157172
Extra,IPO,10%,Elastic Shakedown,22.07,0.00E+00,0.754712619
Extra,IPO,10%,Limit Load,0,1.75E+08,0.47232991
Extra,IPO,10%,Limit Load,2.207,1.58E+08,0.533854758
Extra,IPO,10%,Limit Load,4.414,1.40E+08,0.607913248
Extra,IPO,10%,Limit Load,6.621,1.23E+08,0.694508258
Extra,IPO,10%,Limit Load,8.828,1.05E+08,0.791139799
Extra,IPO,10%,Limit Load,11.035,8.75E+07,0.889816827
Extra,IPO,10%,Limit Load,13.242,7.00E+07,0.971248663
Extra,IPO,10%,Limit Load,15.449,5.25E+07,1.023132603
Extra,IPO,10%,Limit Load,17.656,3.50E+07,1.000792915
Extra,IPO,10%,Limit Load,19.863,1.75E+07,0.889331045
Extra,IPO,10%,Limit Load,22.07,0.00E+00,0.75471263
Extra,IPC,10%,Elastic Shakedown,0,1.75E+08,0.358869961
Extra,IPC,10%,Elastic Shakedown,2.207,1.58E+08,0.398763794
Extra,IPC,10%,Elastic Shakedown,4.414,1.40E+08,0.448644526
Extra,IPC,10%,Elastic Shakedown,6.621,1.23E+08,0.51276513
