Thining Rate,Boundary Type,Thining Part,Moment Direction,Moment,Inner Pressure,Multiplier
15%,Elastic Shakedown,Extra,IPC,1.75.E+08,0,0.358853504
15%,Elastic Shakedown,Extra,IPC,1.58.E+08,2.207,0.3987447
15%,Elastic Shakedown,Extra,IPC,1.40.E+08,4.414,0.44858216
15%,Elastic Shakedown,Extra,IPC,1.23.E+08,6.621,0.512697051
15%,Elastic Shakedown,Extra,IPC,1.05.E+08,8.828,0.597039457
15%,Elastic Shakedown,Extra,IPC,8.75.E+07,11.035,0.687101325
15%,Elastic Shakedown,Extra,IPC,7.00.E+07,13.242,0.718983131
15%,Elastic Shakedown,Extra,IPC,5.25.E+07,15.449,0.740858165
15%,Elastic Shakedown,Extra,IPC,3.50.E+07,17.656,0.754014895
15%,Elastic Shakedown,Extra,IPC,1.75.E+07,19.863,0.759500946
15%,Elastic Shakedown,Extra,IPC,0.00.E+00,22.07,0.754757838
15%,Elastic Shakedown,Extra,IPO,1.75.E+08,0,0.358853538
15%,Elastic Shakedown,Extra,IPO,1.58.E+08,2.207,0.398741983
15%,Elastic Shakedown,Extra,IPO,1.40.E+08,4.414,0.448614655
15%,Elastic Shakedown,Extra,IPO,1.23.E+08,6.621,0.512746641
15%,Elastic Shakedown,Extra,IPO,1.05.E+08,8.828,0.598203424
15%,Elastic Shakedown,Extra,IPO,8.75.E+07,11.035,0.717943326
15%,Elastic Shakedown,Extra,IPO,7.00.E+07,13.242,0.893884468
15%,Elastic Shakedown,Extra,IPO,5.25.E+07,15.449,0.911113437
15%,Elastic Shakedown,Extra,IPO,3.50.E+07,17.656,0.876409275
15%,Elastic Shakedown,Extra,IPO,1.75.E+07,19.863,0.816210479
15%,Elastic Shakedown,Extra,IPO,0.00.E+00,22.07,0.75475786
15%,Elastic Shakedown,Extra,OP,1.75.E+08,0,0.495599341
15%,Elastic Shakedown,Extra,OP,1.58.E+08,2.207,0.581967229
15%,Elastic Shakedown,Extra,OP,1.40.E+08,4.414,0.646940741
15%,Elastic Shakedown,Extra,OP,1.23.E+08,6.621,0.718878527
15%,Elastic Shakedown,Extra,OP,1.05.E+08,8.828,0.793005148
15%,Elastic Shakedown,Extra,OP,8.75.E+07,11.035,0.85881396
15%,Elastic Shakedown,Extra,OP,7.00.E+07,13.242,0.89749323
